                           BADA PERFORMANCE FILE              Mar 06 2013
 
AC/Type: save.bada_data_737-03_06_13__07_29 
                              SOURCE OPF FILE:               Mar 06 2013
                              SOURCE APF FILE:               Mar 06 2013
 
 Speeds:   CAS(LO/HI)  Mach   Mass Levels [kg]         Temperature:   ISA 
 climb   - 249/249     0.68   low     - 37649      
 cruise  - 249/249     0.68   nominal - 44451         Max Alt. [ft]: 37000     
 descent - 249/249     0.68   high    - 51255     
======================================================================================= 
 FL |         CRUISE            |              CLIMB             |       DESCENT        
    |  TAS          fuel        |  TAS       ROCD         fuel   |  TAS  ROCD    fuel   
    | [kts]       [kg/min]      | [kts]      [fpm]      [kg/min] | [kts] [fpm] [kg/min] 
    |          lo   nom    hi   |         lo  nom   hi    nom    |        nom    nom    
======================================================================================= 
  0 |  250   12.9   14.1   15.4 |  250  7286 6757 6366     33.0  |  250   2262    11.7
    |                           |                                |                     
  5 |  251   13.0   14.2   15.5 |  251  6994 6452 6036     30.6  |  251   2537    11.7
    |                           |                                |                     
 10 |  253   13.0   14.2   15.5 |  253  6894 6376 5988     33.1  |  253   2580    11.7
    |                           |                                |                     
 15 |  255   13.0   14.2   15.5 |  255  6805 6304 5918     28.1  |  255   2601    11.7
    |                           |                                |                     
 20 |  257   13.0   14.2   15.5 |  257  6719 6219 5874     30.6  |  257   2625    11.7
    |                           |                                |                     
 30 |  260   13.0   14.2   15.5 |  260  6527 6089 5738     26.8  |  260   2674    11.7
    |                           |                                |                     
 40 |  264   13.0   14.2   15.5 |  264  6344 5943 5643     28.1  |  264   2712    11.7
    |                           |                                |                     
 60 |  272   13.0   14.2   15.5 |  272  5974 5658 5422     28.1  |  272   2791    11.7
    |                           |                                |                     
 80 |  280   13.0   14.2   15.5 |  280  5582 5351 5172     33.1  |  280   2874    11.7
    |                           |                                |                     
100 |  288   13.0   14.2   15.5 |  288  5161 5032 4922     29.4  |  288   2947    11.7
    |                           |                                |                     
120 |  297   13.0   14.2   15.5 |  297  4830 4805 4729     33.1  |  297   2985    11.7
    |                           |                                |                     
140 |  306   13.0   14.2   15.5 |  306  4507 4546 4559     30.6  |  306   3036    11.7
    |                           |                                |                     
160 |  315   13.0   14.2   15.5 |  315  4146 4267 4355     29.4  |  315   3076    11.7
    |                           |                                |                     
180 |  325   13.0   14.2   15.5 |  325  3765 3996 4121     29.4  |  325   3171    11.7
    |                           |                                |                     
200 |  335   13.0   14.2   15.5 |  335  3329 3675 3891     33.1  |  335   3256    11.7
    |                           |                                |                     
220 |  346   13.0   14.2   15.5 |  346  3017 3434 3732     29.4  |  346   3300    11.7
    |                           |                                |                     
240 |  357   13.0   14.2   15.5 |  357  2683 3221 3582     29.4  |  357   3344    11.7
    |                           |                                |                     
260 |  369   13.0   14.2   15.5 |  369  2388 3008 3440     30.6  |  369   3341    11.7
    |                           |                                |                     
280 |  381   13.0   14.2   15.5 |  381  2071 2794 3302     30.6  |  381   3368    11.7
    |                           |                                |                     
290 |  387   13.0   14.2   15.5 |  387  1905 2689 3223     26.8  |  387   3373    11.7
    |                           |                                |                     
310 |  400   13.0   14.2   15.5 |  400  1622 2502 3114     28.1  |  400   3346    11.7
    |                           |                                |                     
330 |  413   13.0   14.2   15.5 |  413  1373 2356 3030     26.8  |  413   3315    11.8
    |                           |                                |                     
350 |  427   13.1   14.3   15.6 |  427  1069 2174 2910     29.4  |  427   3278    13.2
    |                           |                                |                     
370 |  443   14.5   15.8   17.0 |  443   726 1950 2838     28.4  |  443   3296    14.5
    |                           |                                |                     
=======================================================================================

